var,millen,gville,monroe,universal
add_corr,1,NA,NA,add_corr
add_house,1,NA,NA,add_house
add_marker,1,NA,NA,add_marker
add_mlbox,1,NA,NA,add_mlbox
add_Notvis,1,NA,NA,add_notvis
house_num,NA,1,NA,add_num
add_rev,1,NA,1,add_rev
add_ver,1,NA,1,add_ver
addr_id,NA,1,NA,addr_id
address,1,1,1,address
Classify,1,NA,1,classify
classify,NA,1,NA,classify
Comments,1,NA,1,comments
condition,NA,1,NA,condition
createdate,1,NA,NA,date_create
create_dat,NA,NA,1,date_create
firstname,1,NA,1,firstname
full_add,1,NA,NA,full_add
GeneralCon,1,NA,1,gen_cond
gen_cond,NA,1,NA,gen_cond
homeexempt,NA,1,1,homeexempt
house_no,1,NA,1,house_no
Landlord,NA,NA,1,landlord
lit_ditch,1,NA,NA,lit_ditch
lit_None,1,NA,NA,lit_none
lit_officials,1,NA,NA,lit_officials
lit_yard,1,NA,NA,lit_yard
MAJ_FOUND,1,NA,1,maj_found
maj_found,NA,1,NA,maj_found
MAJ_No,1,NA,NA,maj_no
MAJ_NO,NA,NA,1,maj_no
MAJ_PORCH,1,NA,1,maj_porch
maj_porch,NA,1,NA,maj_porch
MAJ_RFSWY,1,NA,1,maj_rfswy
maj_rfswy,NA,1,NA,maj_rfswy
MAJ_RFTILE,1,NA,1,maj_rftile
maj_rftile,NA,1,NA,maj_rftile
MAJ_ROT,1,NA,1,maj_rot
maj_rot,NA,1,NA,maj_rot
MAJ_SIDING,1,NA,1,maj_siding
maj_siding,NA,1,NA,maj_siding
MAJ_SKIRT,1,NA,NA,maj_skirt
MAJ_TOTAL,1,NA,1,maj_total
maj_total,NA,1,NA,maj_total
MAJ_WINDDO,1,NA,1,maj_winddo
maj_winddo,NA,1,NA,maj_winddo
MIN_CHIMN,NA,NA,1,min_chimn
MAJ_CHIMN,NA,NA,1,maj_chimn
MIN_FOUND,1,NA,1,min_found
min_found,NA,1,NA,min_found
MIN_GUTTER,NA,NA,1,min_gutter
MIN_INSUL,1,NA,1,min_insul
min_insul,NA,1,NA,min_insul
min_missda,NA,1,NA,min_missda
MIN_MISSID,1,NA,1,min_missid
MIN_No,1,NA,NA,min_no
MIN_NO,NA,NA,1,min_no
MIN_PAINT,NA,NA,1,min_paint
MIN_PORCH,1,NA,1,min_porch
min_porch,NA,1,NA,min_porch
MIN_PORJUNK,NA,NA,1,min_porjunk
MIN_RAILS,1,NA,1,min_rails
min_rails,NA,1,NA,min_rails
MIN_RFSWY,1,NA,1,min_rfswy
min_rfswy,NA,1,NA,min_rfswy
MIN_RFTILE,1,NA,1,min_rftile
min_rftile,NA,1,NA,min_rftile
MIN_ROT,1,NA,1,min_rot
min_rot,NA,1,NA,min_rot
MIN_SKIRT,1,NA,NA,min_skirt
MIN_STEPS,1,NA,NA,min_steps
MIN_TOTAL,1,NA,1,min_total
min_total,NA,1,NA,min_total
MIN_UNFINW,1,NA,1,min_unfinw
min_unfinw,NA,1,NA,min_unfinw
MIN_WINDDO,1,NA,1,min_winddo
min_winddo,NA,1,NA,min_winddo
MIN_WNDPAN,1,NA,1,min_wndpan
min_wndpan,NA,1,NA,min_wndpan
MnMj_total,1,NA,1,mjmn_total
mjmn_total,NA,1,NA,mjmn_total
occupy,NA,1,NA,occupy
other_tot,1,NA,1,other_tot
othertype,1,NA,1,othertype
ownaddress,1,1,1,ownaddress
ownaddress2,1,NA,1,ownaddress2
ownaddress3,1,NA,1,ownaddress3
owncity,1,1,1,owncity
ownname,1,1,1,ownname
ownstate,1,1,1,ownstate
zip_code,1,NA,NA,ownzip
ownzip,NA,NA,1,ownzip
Parcel_No,1,NA,1,parcel_num
parcel_num,NA,1,NA,parcel_num
Pic1,1,NA,1,photo1
Pic2,1,NA,1,photo2
Pic3,1,NA,1,photo3
Pic4,1,NA,1,photo4
primary_city,1,1,1,primary_city
proptype,1,NA,1,prop_type
prop_type,NA,1,NA,prop_type
propstatus,1,NA,1,propstatus
rec_id,1,NA,1,rec_id
sidewalks,1,NA,NA,sidewalks
st_dir,NA,1,NA,st_dir
street_nam,1,NA,1,st_name
st_name,NA,1,NA,st_name
st_type,NA,1,NA,st_type
stdirect,NA,NA,1,stdirect
stories,1,1,1,stories
streetligh,1,NA,NA,streetligh
stsign_vis,1,NA,NA,stsign_vis
sttype,NA,NA,1,sttype
trees,1,NA,NA,trees
long,1,NA,1,x
x,NA,NA,1,x
lat,1,NA,1,y
y,NA,NA,1,y
Yard,1,NA,NA,yard
yard,NA,1,NA,yard
YARD_GRCOV,NA,NA,1,yard_grcov
YARD_MAJCL,NA,NA,1,yard_majcl
YARD_MOW,NA,NA,1,yard_mow
YARD_OVRGR,NA,NA,1,yard_ovrgr
YARD_SATIS,NA,NA,1,yard_satis
YARD_VHINOP,NA,NA,1,yard_vhinop
YARD_VHPARK,NA,NA,1,yard_vhpark
zip,NA,1,1,zip
zoningcode,NA,NA,1,zoningcode
